PFAM	GCount	GProp	Icount	Iprop	Enrichment
RHH_1	5268	0.000414943	178	3.785946341	5.02414E-49
Peptidase_S26	879	6.92E-05	76	9.687794894	1.34217E-48
DUF3279	943	7.43E-05	78	9.267938181	2.01897E-48
Prophage_tail	190	1.50E-05	44	25.94772544	5.56967E-48
NinG	783	6.17E-05	72	10.30317207	5.8594E-48
Recombinase	4478	0.000352718	160	4.003465698	3.22198E-47
Phage_lambda_P	809	6.37E-05	72	9.972044162	5.4528E-47
Phage_CII	757	5.96E-05	70	10.36101682	7.72613E-47
RVT_1	2456	0.000193451	117	5.337743712	8.60534E-47
Phage_rep_O	844	6.65E-05	73	9.69126863	9.19905E-47
NinB	705	5.55E-05	68	10.80736985	9.67158E-47
DUF2190	568	4.47E-05	62	12.23048198	5.39019E-46
DUF736	871	6.86E-05	72	9.262208642	8.09065E-45
DUF3173	170	1.34E-05	40	26.36399911	4.50303E-44
Phage_ASH	1026	8.08E-05	76	8.299777497	7.46489E-44
VirE	553	4.36E-05	59	11.95438115	2.76365E-43
DUF3158	296	2.33E-05	47	17.79124602	5.8444E-43
DUF1376	367	2.89E-05	50	15.26525834	3.32891E-42
IstB_IS21	4446	0.000350197	151	3.805464784	3.83072E-42
PerC	1063	8.37E-05	75	7.905479507	7.48737E-42
DUF2285	816	6.43E-05	67	9.199937189	1.19802E-41
DUF1364	605	4.77E-05	59	10.92689715	4.63276E-41
DUF2213	634	4.99E-05	60	10.60381668	5.60375E-41
zf-CHC2	560	4.41E-05	57	11.40478354	9.50728E-41
Plasmid_stabil	7229	0.000569405	196	3.037932115	2.61257E-40
DUF1642	155	1.22E-05	36	26.02381848	1.31686E-39
Gp37_Gp68	709	5.58E-05	61	9.640150591	3.07352E-39
DUF968	1304	0.000102712	78	6.702197626	1.91503E-38
Phage_antitermQ	986	7.77E-05	69	7.841016976	1.99682E-38
Gp58	139	1.09E-05	34	27.40717893	2.44572E-38
DUF3363	677	5.33E-05	59	9.764804692	2.54683E-38
T5orf172	799	6.29E-05	63	8.834744382	3.0844E-38
ArdA	372	2.93E-05	47	14.15647533	3.11833E-38
P22_CoatProtein	333	2.62E-05	45	15.14148597	5.39136E-38
DUF551	923	7.27E-05	66	8.012027898	2.13803E-37
DUF159	3300	0.00025993	121	4.108389861	3.12014E-37
DUF3168	688	5.42E-05	58	9.445822355	6.48663E-37
Phage_base_V	4178	0.000329088	137	3.674111652	7.47204E-37
SLT	11403	0.000898177	252	2.476176712	8.65541E-37
DUF2732	402	3.17E-05	47	13.10002195	1.15548E-36
Rep_trans	384	3.02E-05	46	13.42229642	2.12386E-36
DUF2971	745	5.87E-05	59	8.873520506	5.01093E-36
DUF2724	209	1.65E-05	37	19.8360711	5.42662E-36
DUF2612	417	3.28E-05	47	12.62879813	6.27542E-36
Bac_DnaA	5196	0.000409272	153	3.299305316	9.97823E-36
Phage_holin_1	185	1.46E-05	35	21.19808036	3.38013E-35
DUF2184	475	3.74E-05	48	11.32264383	1.91662E-34
DUF722	85	6.70E-06	27	35.5913988	3.02514E-34
GIIM	2782	0.000219129	106	4.269224155	3.12544E-34
YopX	215	1.69E-05	36	18.76135751	3.72129E-34
Collar	2562	0.0002018	101	4.417153247	6.95023E-34
DUF669	118	9.29E-06	29	27.53697365	5.31936E-33
DUF3383	364	2.87E-05	42	12.92849956	1.04368E-32
Mrr_cat	2129	0.000167694	90	4.736603879	1.38341E-32
CLP_protease	8944	0.00070449	205	2.56816125	2.66141E-32
T4SS	262	2.06E-05	37	15.82343076	2.97303E-32
Abi_2	910	7.17E-05	60	7.387714036	3.02029E-32
Minor_tail_Z	1092	8.60E-05	65	6.66946406	3.22706E-32
GPW_gp25	3864	0.000304355	123	3.566713389	4.09632E-32
Phage_tail_3	147	1.16E-05	30	22.86673392	1.8873E-31
Phage_tail_2	673	5.30E-05	52	8.657420213	1.91048E-31
Antiterm	839	6.61E-05	57	7.612251233	2.16902E-31
Phage_holin_4	392	3.09E-05	42	12.00503531	2.19072E-31
Phage_XkdX	152	1.20E-05	30	22.11453873	5.50787E-31
Helicase_C	7951	0.000626275	187	2.635239378	5.92911E-31
Lysis_S	1699	0.000133825	78	5.144005712	8.90421E-31
DUF2274	634	4.99E-05	50	8.836513897	1.02815E-30
Shufflon_N	230	1.81E-05	34	16.56346901	1.85832E-30
DUF2787	128	1.01E-05	28	24.51028042	2.28101E-30
YcfA	2100	0.00016541	86	4.588591274	2.89659E-30
Sigma70_r4_2	1106	8.71E-05	63	6.382423835	3.15652E-30
Phage_lambd_GpG	1116	8.79E-05	63	6.325233657	5.17255E-30
Phage_tail_T	1116	8.79E-05	63	6.325233657	5.17255E-30
Phage_cap_E	1088	8.57E-05	62	6.385031034	8.73002E-30
AP2	473	3.73E-05	43	10.18609056	3.81561E-29
DEDD_Tnp_IS110	13705	0.001079499	263	2.150190442	4.97797E-29
DUF2513	197	1.55E-05	31	17.63176083	8.94523E-29
DUF2570	220	1.73E-05	32	16.2977449	1.56089E-28
DUF2313	614	4.84E-05	47	8.576887332	2.0604E-28
DUF2479	91	7.17E-06	24	29.55085614	2.13238E-28
DUF1367	386	3.04E-05	39	11.3208105	2.65724E-28
HSDR_N	1206	9.50E-05	63	5.853201295	3.5022E-28
DUF262	1249	9.84E-05	64	5.741399326	3.82666E-28
DUF754	339	2.67E-05	37	12.22931817	3.86611E-28
DUF3085	209	1.65E-05	31	16.61941092	5.84091E-28
AntA	483	3.80E-05	42	9.743217062	9.68902E-28
Big_2	2440	0.000192191	89	4.086960108	9.90442E-28
DUF2958	484	3.81E-05	42	9.723086448	1.0515E-27
DUF2493	518	4.08E-05	43	9.301198527	1.5136E-27
Gp49	2984	0.00023504	99	3.717376885	1.54216E-27
DUF847	1078	8.49E-05	59	6.132442279	1.56228E-27
DUF2637	492	3.88E-05	42	9.564987482	2.00921E-27
zf-dskA_traR	6485	0.000510803	156	2.695347943	4.00177E-27
NinF	417	3.28E-05	39	10.47921547	4.76903E-27
TMP_2	475	3.74E-05	41	9.671424936	5.37443E-27
Prim_Zn_Ribbon	366	2.88E-05	37	11.32715535	6.04307E-27
RPA	650	5.12E-05	46	7.929479732	2.0803E-26
Phage_tail_U	1057	8.33E-05	57	6.042269427	2.41705E-26
TIR	624	4.92E-05	45	8.080312227	3.30574E-26
Phage_Nu1	1071	8.44E-05	57	5.963285513	4.60696E-26
DUF1863	803	6.32E-05	50	6.97677436	4.68735E-26
Zot	475	3.74E-05	40	9.435536523	5.62694E-26
DUF2635	313	2.47E-05	34	12.17123921	6.35182E-26
DUF2825	15175	0.001195286	272	2.008354726	1.04443E-25
DUF3275	228	1.80E-05	30	14.74302582	1.56026E-25
Tail_tube	305	2.40E-05	33	12.12311762	3.73451E-25
DDE_Tnp_IS1	6994	0.000550895	159	2.547250843	3.73515E-25
HeH	110	8.66E-06	23	23.4280083	9.74491E-25
Phage_Mu_Gp45	397	3.13E-05	36	10.16043291	1.22838E-24
DUF3387	830	6.54E-05	49	6.614822668	1.44021E-24
Rep_2	112	8.82E-06	23	23.00965101	1.51936E-24
GP46	400	3.15E-05	36	10.08422966	1.58802E-24
Glyco_hydro_19	920	7.25E-05	51	6.211300877	2.77403E-24
P22_AR_N	209	1.65E-05	28	15.01108083	3.70163E-24
SNF2_N	356	2.80E-05	34	10.70111762	4.33673E-24
Omptin	602	4.74E-05	42	7.817232294	5.03288E-24
UPF0150	2131	0.000167852	77	4.048624453	5.34818E-24
PriCT_2	281	2.21E-05	31	12.36105652	5.52614E-24
DUF1064	153	1.21E-05	25	18.30833271	6.18309E-24
DDE_Tnp_ISL3	5259	0.000414234	129	2.748443147	1.79381E-23
DUF1788	347	2.73E-05	33	10.65576621	2.26622E-23
DUF1351	69	5.43E-06	19	30.8535207	3.39817E-23
CHAP	1999	0.000157455	73	4.091761242	4.17235E-23
DUF2737	185	1.46E-05	26	15.74714541	4.32168E-23
ResIII	1428	0.000112479	61	4.786321267	6.73362E-23
gpW	869	6.84E-05	48	6.189017052	6.82355E-23
DUF2933	480	3.78E-05	37	8.636955958	7.83678E-23
NLPC_P60	11493	0.000905266	215	2.096067536	7.89002E-23
DUF2560	169	1.33E-05	25	16.57499944	7.91947E-23
DUF2597	151	1.19E-05	24	17.8087941	9.62056E-23
DUF2765	151	1.19E-05	24	17.8087941	9.62056E-23
ORF6N	799	6.29E-05	46	6.450765739	9.90923E-23
DnaB_2	921	7.25E-05	49	5.961240841	1.20586E-22
NinE	523	4.12E-05	38	8.141081943	1.6547E-22
P22_Tail-4	174	1.37E-05	25	16.09870635	1.66079E-22
DUF3799	317	2.50E-05	31	10.95727723	2.05536E-22
AAA_4	1855	0.000146112	69	4.167785843	2.28489E-22
DUF3277	220	1.73E-05	27	13.75122226	2.50906E-22
DNA_pol_A	635	5.00E-05	41	7.234530464	2.99039E-22
Holin_LLH	91	7.17E-06	20	24.62571345	3.54878E-22
DinI	1977	0.000155722	71	4.023943718	3.98751E-22
DUF2590	162	1.28E-05	24	16.59955499	5.41117E-22
PAP_PilO	163	1.28E-05	24	16.49771723	6.28885E-22
DUF1441	451	3.55E-05	35	8.695443165	8.77684E-22
DUF2824	166	1.31E-05	24	16.19956572	9.81057E-22
Psu	336	2.65E-05	31	10.33766929	1.15094E-21
Peptidase_S24	9315	0.000733712	182	2.189216673	1.6972E-21
DNA_circ_N	400	3.15E-05	33	9.243877188	1.90168E-21
PemK	3839	0.000302386	102	2.977023603	2.64393E-21
DUF2280	153	1.21E-05	23	16.8436661	2.72903E-21
Phage_stabilise	175	1.38E-05	24	15.3664452	3.53124E-21
Ail_Lom	2722	0.000214403	83	3.416568951	3.71257E-21
DUF2840	475	3.74E-05	35	8.256094458	4.66115E-21
HipA_C	2677	0.000210859	82	3.432145569	4.84442E-21
PilS	157	1.24E-05	23	16.41452811	4.99475E-21
DUF2586	178	1.40E-05	24	15.10746016	5.3223E-21
DUF2742	50	3.94E-06	16	35.85503879	5.8759E-21
PilM	125	9.85E-06	21	18.82389536	1.29001E-20
DUF1268	42	3.31E-06	15	40.01678436	1.40503E-20
DUF806	43	3.39E-06	15	39.08616147	2.13847E-20
DUF2514	433	3.41E-05	33	8.539378464	2.15238E-20
TraE	189	1.49E-05	24	14.22819	2.24483E-20
AIPR	501	3.95E-05	35	7.827634466	2.55256E-20
Phg_2220_C	113	8.90E-06	20	19.83132676	3.5352E-20
Head_binding	172	1.35E-05	23	14.98302856	4.15758E-20
TraH	196	1.54E-05	24	13.72004035	5.3417E-20
DUF305	2059	0.000162181	69	3.7548532	5.58802E-20
RepA_N	123	9.69E-06	20	18.21902377	2.05532E-19
DUF1799	233	1.84E-05	25	12.02220989	2.33117E-19
DUF3742	212	1.67E-05	24	12.68456561	3.41473E-19
PipA	190	1.50E-05	23	13.56358375	4.06463E-19
DUF2856	191	1.50E-05	23	13.49257022	4.57986E-19
DUF1789	110	8.66E-06	19	19.35357207	4.91304E-19
DUF2312	951	7.49E-05	45	5.301908338	5.34638E-19
TcpQ	268	2.11E-05	26	10.87023098	5.67595E-19
Pilus_PilP	171	1.35E-05	22	14.41540302	6.23044E-19
TrbM	79	6.22E-06	17	24.11137893	6.62212E-19
DUF1156	328	2.58E-05	28	9.564987482	7.8133E-19
DUF3714	272	2.14E-05	26	10.71037464	8.20399E-19
DUF1281	97	7.64E-06	18	20.7922261	1.06622E-18
DEAD	46798	0.003686127	604	1.446138419	1.38686E-18
DUF3408	399	3.14E-05	30	8.424586181	1.58475E-18
HTH_Tnp_IS1	5379	0.000423686	119	2.478823675	1.85671E-18
Sulfolobus_pRN	45	3.54E-06	14	34.85906549	2.56893E-18
Rad52_Rad22	183	1.44E-05	22	13.47013069	2.73981E-18
DUF499	235	1.85E-05	24	11.44309749	3.77534E-18
Head-tail_con	212	1.67E-05	23	12.15604204	4.81609E-18
E1-E2_ATPase	13520	0.001064927	224	1.856399937	8.54049E-18
PapB	271	2.13E-05	25	10.33643877	8.78853E-18
Autotransporter	7890	0.00062147	152	2.158573311	8.98776E-18
DUF3644	220	1.73E-05	23	11.71400415	1.10108E-17
DUF497	1528	0.000120356	55	4.03310523	1.38268E-17
DUF1524	1292	0.000101767	50	4.336184064	2.2622E-17
DUF1617	80	6.30E-06	16	22.40939924	2.4586E-17
NUMOD4	203	1.60E-05	22	12.14302422	2.56601E-17
Vsr	1603	0.000126263	56	3.914305545	2.56756E-17
UvrD-helicase	9310	0.000733319	169	2.033935807	3.18947E-17
Topoisom_bac	5851	0.000460864	122	2.336307219	5.18227E-17
DUF2815	236	1.86E-05	23	10.91983438	5.21265E-17
DUF3647	84	6.62E-06	16	21.34228499	5.61995E-17
HMA	4465	0.000351694	102	2.559640227	5.76749E-17
TraK	186	1.47E-05	21	12.65046731	5.77456E-17
TrbC_Ftype	186	1.47E-05	21	12.65046731	5.77456E-17
DUF3751	143	1.13E-05	19	14.88736313	7.96225E-17
MT-A70	500	3.94E-05	31	6.946913765	9.59326E-17
CopB	744	5.86E-05	37	5.57222965	1.35526E-16
DUF1366	58	4.57E-06	14	27.04582667	1.38972E-16
TraG-D_C	149	1.17E-05	19	14.287872	1.7366E-16
Phage_min_cap2	110	8.66E-06	17	17.31635396	2.42241E-16
Hypoth_Ymh	228	1.80E-05	22	10.81155227	3.01783E-16
PglZ	569	4.48E-05	32	6.301412792	4.83897E-16
TcpE	116	9.14E-06	17	16.42068048	6.07875E-16
Phage_NinH	358	2.82E-05	26	8.137491345	6.50724E-16
RteC	267	2.10E-05	23	9.651988438	7.70364E-16
Integrase_l_N	186	1.47E-05	20	12.04806411	8.1135E-16
PrgI	268	2.11E-05	23	9.615973556	8.35164E-16
DUF550	213	1.68E-05	21	11.04688695	9.1077E-16
HDPD	887	6.99E-05	39	4.926530837	1.15147E-15
DUF3356	551	4.34E-05	31	6.303914488	1.3489E-15
Phage_antiter_Q	594	4.68E-05	32	6.036201816	1.59055E-15
DUF1317	443	3.49E-05	28	7.081977187	1.72442E-15
DUF1019	1095	8.62E-05	43	4.400019029	2.13142E-15
P63C	126	9.92E-06	17	15.11745187	2.51138E-15
Lambda_CIII	383	3.02E-05	26	7.606323503	3.20091E-15
DDE_Tnp_Tn3	1693	0.000133352	54	3.573855756	3.64269E-15
DUF3800	832	6.55E-05	37	4.982859207	4.24912E-15
DUF3871	130	1.02E-05	17	14.6522995	4.27441E-15
KAP_NTPase	880	6.93E-05	38	4.838393018	4.59943E-15
TraO	131	1.03E-05	17	14.54044989	4.86799E-15
DUF2591	294	2.32E-05	23	8.765581336	6.07816E-15
DUF1508	1245	9.81E-05	45	4.049891429	9.07921E-15
CtnDOT_TraJ	212	1.67E-05	20	10.57047134	1.00628E-14
DUF2523	270	2.13E-05	22	9.129755247	1.01002E-14
SNase	2268	0.000178643	63	3.112416561	1.07209E-14
DUF411	1004	7.91E-05	40	4.464023754	1.2155E-14
TraL	162	1.28E-05	18	12.44966625	1.22685E-14
Plasmid_killer	1862	0.000146664	56	3.369834473	1.26879E-14
TrmB	1056	8.32E-05	41	4.350309512	1.33382E-14
DUF2634	141	1.11E-05	17	13.50921231	1.68408E-14
DUF3872	141	1.11E-05	17	13.50921231	1.68408E-14
Ring_hydroxyl_B	1949	0.000153516	57	3.276900351	2.32998E-14
Phage-scaffold	144	1.13E-05	17	13.22777039	2.39655E-14
MerT	500	3.94E-05	28	6.274631788	3.39306E-14
Peptidase_S49	4389	0.000345707	94	2.399730609	3.45898E-14
CENP-B_N	962	7.58E-05	38	4.425972823	6.98624E-14
HHA	1542	0.000121458	49	3.560507662	7.26974E-14
Amidase_5	184	1.45E-05	18	10.96111919	1.12522E-13
Phage_holin	73	5.75E-06	13	19.95357467	1.14759E-13
BsuBI_PstI_RE	159	1.25E-05	17	11.97986752	1.24321E-13
GcrA	1031	8.12E-05	39	4.238441176	1.26154E-13
Mob_Pre	342	2.69E-05	23	7.535324307	1.45417E-13
RepA_C	187	1.47E-05	18	10.78527236	1.48652E-13
Diphtheria_C	9	7.09E-07	7	87.14766372	1.59454E-13
BetR	216	1.70E-05	19	9.855985778	1.61927E-13
SPDY	247	1.95E-05	20	9.072631272	1.78733E-13
DUF3703	279	2.20E-05	21	8.433644876	1.86903E-13
ORF6C	95	7.48E-06	14	16.51218892	2.01003E-13
phage_tail_N	465	3.66E-05	26	6.264993337	2.78246E-13
DUF977	820	6.46E-05	34	4.645851063	3.60679E-13
IMS	7539	0.000593823	133	1.976687955	3.87977E-13
P22_AR_C	148	1.17E-05	16	12.11318878	5.41675E-13
FaeA	441	3.47E-05	25	6.351870534	5.80471E-13
XhlA	149	1.17E-05	16	12.03189221	6.01424E-13
SopD	264	2.08E-05	20	8.488408804	6.12128E-13
Amidase_2	5758	0.000453539	109	2.121070265	7.56226E-13
ASCH	2202	0.000173444	58	2.951283279	9.28835E-13
HlyC	304	2.39E-05	21	7.740088554	9.6643E-13
HlyD_2	6025	0.00047457	112	2.082865324	1.11691E-12
YolD	212	1.67E-05	18	9.513424207	1.25975E-12
Tellurium_res	911	7.18E-05	35	4.304769339	1.38246E-12
Z1	245	1.93E-05	19	8.68935889	1.51003E-12
Flag1_repress	70	5.51E-06	12	19.20805649	1.61454E-12
Chaperone_III	111	8.74E-06	14	14.13205358	1.79113E-12
DUF1660	56	4.41E-06	11	22.0092314	2.84514E-12
IncA	42	3.31E-06	10	26.67785624	3.53991E-12
Zn_Tnp_IS1	406	3.20E-05	23	6.347489933	4.78376E-12
DUF2786	855	6.73E-05	33	4.324620906	5.16143E-12
DUF1353	298	2.35E-05	20	7.519932632	5.54808E-12
DUF3876	147	1.16E-05	15	11.43336696	6.56221E-12
Phage_integr_N	1071	8.44E-05	37	3.870904631	6.84407E-12
Strep_his_triad	149	1.17E-05	15	11.27989895	7.97546E-12
DUF1833	178	1.40E-05	16	10.07164011	9.1817E-12
Phage_attach	682	5.37E-05	29	4.764461716	9.88626E-12
Lambda_Kil	386	3.04E-05	22	6.38609823	1.21524E-11
TraV	156	1.23E-05	15	10.77374964	1.54259E-11
HTH_Tnp_IS630	1561	0.000122955	45	3.230054343	1.65974E-11
Bundlin	85	6.70E-06	12	15.81839947	1.74544E-11
DUF1819	318	2.50E-05	20	7.046980894	1.77293E-11
PTR	50	3.94E-06	10	22.40939924	2.30023E-11
Phage_rep_org_N	161	1.27E-05	15	10.43916114	2.42091E-11
Collagen	4094	0.000322471	82	2.244224155	3.08638E-11
DUF3532	624	4.92E-05	27	4.848187336	3.35871E-11
TIR-like	298	2.35E-05	19	7.143936	4.41711E-11
KfrA_N	455	3.58E-05	23	5.663914094	4.54354E-11
DUF2001	141	1.11E-05	14	11.12523367	4.70563E-11
PapG_C	72	5.67E-06	11	17.11829109	5.00321E-11
McrBC	544	4.28E-05	25	5.149218576	5.00874E-11
DUF2608	74	5.83E-06	11	16.65563457	6.7965E-11
Transposase_20	3031	0.000238742	66	2.439822418	8.5517E-11
FRG	515	4.06E-05	24	5.221607591	9.04374E-11
